mode,batch,rep,frac,auc_ref,auc_cur,auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st,harm
sudden,4,2,1.0,0.8563242061977955,0.7247761229492964,0.1315480832484991,0.4646500051021576,6.394232026645181,20.951620432001725,0.8286909307669275,0.01595669984817505,0.49996748046874995,1,1,1,1,1,1,1
gradual,4,2,0.5,0.8563242061977955,0.7387537475486599,0.11757045864913562,0.455949991941452,5.561333527556642,10.162556735552347,0.7780561544934359,0.0026151537895202637,0.4997316406250001,1,1,1,1,1,1,1
sudden,5,2,1.0,0.8563242061977955,0.7288583663502306,0.12746583984756488,0.46950000524520874,6.43930350311112,21.015349791188466,0.8297232782881334,0.016027450561523438,0.4998681640625,1,1,1,1,1,1,1
gradual,5,2,0.625,0.8563242061977955,0.728456704374806,0.12786750182298945,0.4593999981880188,5.951955168986737,12.922726448723136,0.8011406127616744,0.004278719425201416,0.49983886718750004,1,1,1,1,1,1,1
sudden,6,2,1.0,0.8563242061977955,0.7193833866384033,0.1369408195593922,0.4666999876499176,6.411975411734555,20.821010228756904,0.8306056258881799,0.016299664974212646,0.4999112304687501,1,1,1,1,1,1,1
gradual,6,2,0.75,0.8563242061977955,0.7278469984677445,0.128477207730051,0.46129998564720154,6.175691860870318,15.660725092040979,0.8152076573306445,0.0070645809173583984,0.4997974609375,1,1,1,1,1,1,1
sudden,7,2,1.0,0.8563242061977955,0.7279192693372661,0.12840493686052934,0.4645499885082245,6.436242791674197,21.115376021652835,0.8300674227982235,0.016264021396636963,0.49992373046875005,1,1,1,1,1,1,1
gradual,7,2,0.875,0.8563242061977955,0.718356461425883,0.13796774477191243,0.4639500081539154,6.30581173221591,18.26291532968577,0.8231220408559057,0.010847508907318115,0.499908984375,1,1,1,1,1,1,1
sudden,8,2,1.0,0.8563242061977955,0.7347785668644146,0.12154563933338092,0.4657999873161316,6.426633007400588,21.162219916981357,0.830441980150164,0.01616036891937256,0.49993134765625,1,1,1,1,1,1,1
gradual,8,2,1.0,0.8563242061977955,0.7359546302998521,0.12036957589794339,0.47095000743865967,6.497095319830065,21.0172853388394,0.8320544569919245,0.01631706953048706,0.49991337890625,1,1,1,1,1,1,1
sudden,1,3,1.0,0.853597998219651,0.7128597380510646,0.14073826016858637,0.463049978017807,6.181310111983761,19.579735064423804,0.8240851698666832,0.01402050256729126,0.4998597656249999,1,1,1,1,1,1,1
gradual,1,3,0.125,0.853597998219651,0.7785563359542952,0.0750416622653558,0.43352800607681274,3.435227759456621,2.163192674174138,0.6218738328491382,-4.57763671875e-05,0.49970292968749996,1,1,1,1,0,1,1
sudden,2,3,1.0,0.853597998219651,0.7162654370653642,0.13733256115428683,0.46609997749328613,6.201999125306158,19.634956337294152,0.8232358807748419,0.013719379901885986,0.49991396484374995,1,1,1,1,1,1,1
gradual,2,3,0.25,0.853597998219651,0.7689940192217889,0.0846039789978621,0.42745062708854675,4.440173866770699,4.51366552069323,0.7107438065538796,8.046627044677734e-05,0.49972216796875,1,1,1,1,0,1,1
sudden,3,3,1.0,0.853597998219651,0.7244790154775577,0.12911898274209332,0.45784997940063477,6.127453033054274,19.551987243684202,0.822815703134963,0.0135689377784729,0.4998787109375,1,1,1,1,1,1,1
gradual,3,3,0.375,0.853597998219651,0.7485330712371528,0.10506492698249814,0.439300000667572,4.932905386484925,6.949912418434595,0.74369531276097,0.0007087588310241699,0.4997275390625001,1,1,1,1,1,1,1
sudden,4,3,1.0,0.853597998219651,0.7148629280097939,0.1387350702098571,0.46164998412132263,6.224242371606977,19.458524272061368,0.8256292442248138,0.01371985673904419,0.49994941406249993,1,1,1,1,1,1,1
gradual,4,3,0.5,0.853597998219651,0.7334608975006205,0.1201371007190305,0.4453499913215637,5.283035887463779,9.55339416537863,0.7670411742357306,0.001620173454284668,0.49963232421875003,1,1,1,1,1,1,1
sudden,5,3,1.0,0.853597998219651,0.7191271839595453,0.13447081426010565,0.4642999768257141,6.240894936714538,19.657330765398797,0.8257884877020645,0.01476365327835083,0.49981240234375,1,1,1,1,1,1,1
gradual,5,3,0.625,0.853597998219651,0.726145579598568,0.12745241862108303,0.4605499804019928,5.69959501563313,12.04788182788915,0.7914745416196887,0.0033106207847595215,0.49973515625,1,1,1,1,1,1,1
sudden,6,3,1.0,0.853597998219651,0.7171594248398185,0.13643857337983245,0.4605499804019928,6.131520500937917,19.522860139476187,0.8229361380351343,0.013574361801147461,0.4999058593750001,1,1,1,1,1,1,1
gradual,6,3,0.75,0.853597998219651,0.7251328097720225,0.12846518844762844,0.4610999822616577,5.941640711294628,14.46251176360829,0.8080576769852874,0.006219625473022461,0.49979179687499997,1,1,1,1,1,1,1
sudden,7,3,1.0,0.853597998219651,0.7121408667053709,0.14145713151428008,0.4651999771595001,6.185678119125569,19.62060787541638,0.8244400490482136,0.0136336088180542,0.49989580078125007,1,1,1,1,1,1,1
gradual,7,3,0.875,0.853597998219651,0.7216133902540608,0.1319846079655902,0.46209999918937683,6.050882053087589,17.0460486509228,0.8152194521958636,0.009723961353302002,0.49990917968750004,1,1,1,1,1,1,1
