rep,auc_ref,auc_cur,auc_drop,segment_auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st
112,0.8618456358280941,0.8489683321162985,0.012877303711795629,0.023663771053802907,0.026652216911315918,0.008893247764948518,0.45357523889058704,0.05936278324454596,-8.028745651245117e-05,0.008158300781250016
113,0.8626607076940631,0.8549815678604475,0.007679139833615567,-0.004497328300181569,0.05140554904937744,0.01216949949163985,0.5256999999999754,0.06439382043916016,-1.9848346710205078e-05,-0.00928408203125003
114,0.847516289463332,0.8535431469439045,-0.006026857480572523,-0.03482537784387796,0.02799457311630249,0.01012814087925357,0.36494417203735363,0.052271682544618704,-1.436471939086914e-05,-0.0016897949218749875
115,0.8504855414055451,0.8589193037474722,-0.008433762341927054,0.036630500708835556,0.024744465947151184,0.010328400006991485,0.4268999999999752,0.06923405534166874,0.00033545494079589844,-0.003391845703125007
116,0.8547674069004074,0.8593554981162964,-0.00458809121588899,0.05493547122478237,0.025569051504135132,0.008878056129834843,0.5507999999999914,0.057954149487918515,0.00010037422180175781,-0.004334130859375063
117,0.8653070604711638,0.8669193219228336,-0.0016122614516698164,-0.00041560297412879255,0.03762194514274597,0.008242635166947732,0.4122999999999879,0.05304189616536451,7.349252700805664e-05,-0.006060742187499968
118,0.8484345315626681,0.8527254958046275,-0.004290964241959405,-0.07520912704839022,0.028447270393371582,0.00621381139431494,0.5228898590072353,0.06185228936298582,0.00023686885833740234,0.0021714843750000323
119,0.8607738447272542,0.860721077392563,5.2767334691172785e-05,0.04197894206451902,0.026344746351242065,0.012696195828827327,0.3904999999999702,0.070673465852699,-4.976987838745117e-05,0.0008093261718750133
120,0.8540575382493161,0.8564625023058352,-0.002404964056519132,-0.020015275724930337,0.02725428342819214,0.00958787141253801,0.2591,0.061396909473190354,0.0003529787063598633,-0.00045180664062499654
121,0.8519788625223378,0.8671261667294609,-0.015147304207123069,0.0045259768488925545,0.022380352020263672,0.006811971298642403,0.6682499999999654,0.06038841141000967,-0.00012695789337158203,-0.020186376953124974
122,0.8597434881769271,0.865856330895254,-0.006112842718326905,0.09577981586561835,0.02940109372138977,0.006642057651494898,0.2879999999999909,0.05024990863242602,-6.943941116333008e-05,-0.000507470703124957
123,0.8661347020998426,0.8516932674086041,0.014441434691238486,0.12183168649593334,0.025858044624328613,0.010554007610069771,0.6007500000000016,0.051695762953311915,-5.245208740234375e-06,-0.002328564453125015
124,0.8546088744961466,0.8609021581240921,-0.006293283627945456,-0.004022420033641283,0.023593604564666748,0.007179023359402171,0.44424567955580085,0.05551487783619636,-0.00016820430755615234,-0.0008955078124999738
125,0.8834213732610754,0.8581618136754599,0.025259559585615543,0.11057139148512884,0.018631398677825928,0.005031433917784316,0.5605000000000525,0.04656546687208468,9.846687316894531e-05,0.0033762695312500313
126,0.865562819435247,0.8449190319974706,0.020643787437776395,-0.029705212209560794,0.02180159091949463,0.005053376324501165,0.39891969233712976,0.052616301282308264,-9.131431579589844e-05,0.0033408691406250357
127,0.8564903840428522,0.862210306970828,-0.005719922927975851,0.10845815982317497,0.022693246603012085,0.009216866770090175,0.3334499999999849,0.058963480509946375,-0.00012791156768798828,-0.0059339355468750465
128,0.8637669333362739,0.8477580663764862,0.01600886695978765,-0.00024722121638742767,0.027811646461486816,0.012904883173595639,0.19300947504369673,0.06268875315365971,-0.00022751092910766602,-0.004346484374999959
