archetype,rep,expected_harm,expected_alarm,auc_ref,auc_cur,auc_drop,segment_auc_drop,segment_positive_share,ks,psi,wasserstein,jensen_shannon,mmd,c2st,harm,segment_harm,alarm_ks,alarm_psi,alarm_wasserstein,alarm_jensen_shannon,alarm_mmd,alarm_c2st
imputation_masked_null,10,True,quiet,0.865273884029773,0.8051203391539881,0.06015354487578495,,,0.025278687477111816,0.006965744903180573,0.5401000000000493,0.062448013162529015,0.004455089569091797,0.4998717773437499,1,0,0,0,0,0,1,1
imputation_visible,10,True,unknown,0.865273884029773,0.8014022158828953,0.06387166814687772,,,0.4494999945163727,3.754420212162241,5.129499999999982,0.7931977581246219,0.004485368728637695,0.49987949218750005,1,0,1,1,1,1,1,1
dilution_shift,10,True,quiet,0.865273884029773,0.8639003428999538,0.0013735411298192446,0.20622308931250544,0.4152777777777778,0.045589104294776917,0.038454032604786914,2.821392411309508,0.0749792944757692,-0.0003020763397216797,0.02648745117187501,0,1,1,1,1,1,0,1
dilution_permuted,10,True,quiet,0.865273884029773,0.8590179806362381,0.0062559033935348785,0.39666964982984443,0.4152777777777778,0.025278687477111816,0.006219420908146573,0.5401000000000493,0.062448013162529015,-0.0002703070640563965,0.019388623046875053,0,1,0,0,0,0,0,1
irrelevant_feature_drift,10,False,fire,0.865273884029773,0.8673095320424159,-0.0020356480126428877,,,1.0,18.400238887191428,170.87277075198733,0.9160861880994461,0.9598493576049805,0.5,0,0,1,1,1,1,1,1
sudden_shift,10,True,fire,0.865273884029773,0.7171934071000462,0.1480804769297268,,,0.46310001611709595,6.349146631022113,21.828609433477702,0.8275977501418149,0.011188507080078125,0.4999234374999999,1,0,1,1,1,1,1,1
gradual_shift,10,True,unknown,0.865273884029773,0.7672155227063163,0.09805836132345669,,,0.43209999799728394,4.6825577389433315,5.159964298614726,0.7263441090412847,-0.00020873546600341797,0.4997265624999999,1,0,1,1,1,1,0,1
true_null,11,False,quiet,0.8677777889566636,0.8405857438508735,0.027192045105790097,,,0.029572248458862305,0.012002722704581213,0.8736000000000457,0.05879141662006342,0.0012227296829223633,0.0026215820312500693,1,0,0,0,1,0,1,0
covariate_shift_mild,11,False,fire,0.8677777889566636,0.8404640710880151,0.027313717868648446,,,0.2735494077205658,0.33581738690311447,1.2872999826404845,0.24887857575847336,0.007364034652709961,0.15114838867187508,1,0,1,1,1,1,1,1
covariate_shift_moderate,11,False,fire,0.8677777889566636,0.8073083063694633,0.06046948258720031,,,0.5268211364746094,1.2680346995970662,3.54751428153212,0.4696842335945143,0.03519636392593384,0.2922773925781249,1,0,1,1,1,1,1,1
covariate_shift_strong,11,False,fire,0.8677777889566636,0.7686983976818651,0.09907939127479848,,,0.7348083257675171,3.434156406743873,6.609256115198389,0.691274528901242,0.07048022747039795,0.41466430664062504,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,11,True,quiet,0.8677777889566636,0.5200663940551951,0.3477113949014685,,,0.029572248458862305,0.012002722704581213,0.8736000000000457,0.05879141662006342,0.0012227296829223633,0.0026215820312500693,1,0,0,0,1,0,1,0
imputation_masked_null,11,True,quiet,0.8677777889566636,0.7807185505734482,0.08705923838321539,,,0.029572248458862305,0.012002722704581213,0.9715009708737831,0.05879141662006342,0.009268343448638916,0.49976533203125006,1,0,0,0,1,0,1,1
imputation_visible,11,True,unknown,0.8677777889566636,0.7770954488588286,0.09068234009783493,,,0.4465999901294708,3.7295476601799176,5.38035000000001,0.787204774692405,0.009296655654907227,0.49980478515624993,1,0,1,1,1,1,1,1
dilution_shift,11,True,quiet,0.8677777889566636,0.8325869222960622,0.03519086666060134,0.22905072463768128,0.40053404539385845,0.04508884251117706,0.03232847534266985,2.0142623244211335,0.07010114390597007,0.0008491277694702148,0.02504443359374997,1,1,1,1,1,0,1,1
dilution_permuted,11,True,quiet,0.8677777889566636,0.8345651456110095,0.0332126433456541,0.40408405797101454,0.40053404539385845,0.029572248458862305,0.012002722704581213,0.8736000000000457,0.05879141662006342,0.0009865760803222656,0.013198339843749962,1,1,0,0,1,0,1,0
irrelevant_feature_drift,11,False,fire,0.8677777889566636,0.8405857438508735,0.027192045105790097,,,1.0,17.479724648750178,424.2676008365568,0.9235666892024805,1.2856464385986328,0.5,1,0,1,1,1,1,1,1
sudden_shift,11,True,fire,0.8677777889566636,0.7067485059122343,0.16102928304442932,,,0.46755000948905945,6.023804554634333,18.144067920676985,0.8152299030407959,0.006967127323150635,0.49991845703125004,1,0,1,1,1,1,1,1
gradual_shift,11,True,unknown,0.8677777889566636,0.7441384107176927,0.12363937823897087,,,0.42800000309944153,4.225928943032342,4.47212916224872,0.7001567665937611,0.0009278655052185059,0.49983085937500005,1,0,1,1,1,1,1,1
true_null,12,False,quiet,0.846408731070732,0.8541937283607967,-0.007784997290064655,,,0.033205389976501465,0.009266352179767972,0.24577269792605216,0.06063414841171046,0.0003859400749206543,0.009143847656249982,0,0,0,0,0,0,0,0
covariate_shift_mild,12,False,fire,0.846408731070732,0.8638534205335825,-0.017444689462850493,,,0.26546043157577515,0.3249667672852183,1.2148669262289828,0.24297465481947408,0.00783008337020874,0.1524613769531249,0,0,1,1,1,1,1,1
covariate_shift_moderate,12,False,fire,0.846408731070732,0.84926555730356,-0.0028568262328280136,,,0.5189405679702759,1.2333187018163132,3.283928495169768,0.4625228645256094,0.029878079891204834,0.29482734374999997,0,0,1,1,1,1,1,1
covariate_shift_strong,12,False,fire,0.846408731070732,0.8152500829094818,0.031158648161250246,,,0.728882908821106,3.3830164551532773,6.356734109952995,0.6885776150382484,0.06125253438949585,0.406196875,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,12,True,quiet,0.846408731070732,0.5173464355852557,0.3290622954854763,,,0.033205389976501465,0.009266352179767972,0.24577269792605216,0.06063414841171046,0.0003859400749206543,0.009143847656249982,1,0,0,0,0,0,0,0
imputation_masked_null,12,True,quiet,0.846408731070732,0.7982394141149842,0.048169316955747776,,,0.033205389976501465,0.010446740705389986,0.2802219582704821,0.06063414841171046,0.007608771324157715,0.4996814453125,1,0,0,0,0,0,1,1
imputation_visible,12,True,unknown,0.846408731070732,0.7968165807719403,0.049592150298791715,,,0.4513999819755554,3.766992544059647,2.55172500000001,0.79377503986045,0.007975339889526367,0.49988310546875003,1,0,1,1,1,1,1,1
dilution_shift,12,True,quiet,0.846408731070732,0.8463593524614622,4.93786092697901e-05,0.16125916996794698,0.39591836734693875,0.044790707528591156,0.03277549909283172,2.1373769639678217,0.07153120076656483,1.1444091796875e-05,0.03025659179687501,0,1,1,1,1,0,0,1
dilution_permuted,12,True,quiet,0.846408731070732,0.8489460461059585,-0.002537315035226473,0.36586553792132726,0.39591836734693875,0.033205389976501465,0.009266352179767972,0.24577269792605216,0.06063414841171046,7.587671279907227e-05,0.024458544921875047,0,1,0,0,0,0,0,1
irrelevant_feature_drift,12,False,fire,0.846408731070732,0.8541937283607967,-0.007784997290064655,,,1.0,17.61108296661834,424.2676008365568,0.9157957296257857,1.2587814331054688,0.5,0,0,1,1,1,1,1,1
sudden_shift,12,True,fire,0.846408731070732,0.7338517031520628,0.11255702791866917,,,0.4630500078201294,6.261735048244033,17.734234819219175,0.8293861562388363,0.008630990982055664,0.49996699218749996,1,0,1,1,1,1,1,1
gradual_shift,12,True,unknown,0.846408731070732,0.7619212169684899,0.08448751410224209,,,0.43720000982284546,4.5889524889424,4.156697114801387,0.7228787008238461,6.091594696044922e-05,0.4998329101562501,1,0,1,1,1,1,0,1
true_null,13,False,quiet,0.8567382088888068,0.8611539491417517,-0.004415740252944889,,,0.03812399506568909,0.006727601669313524,0.6595999999999589,0.050012445007143275,-0.00035583972930908203,0.0013061523437499778,0,0,0,0,0,0,0,0
covariate_shift_mild,13,False,fire,0.8567382088888068,0.8486011768826918,0.008137032006115041,,,0.26108065247535706,0.3044443878973209,1.401564914317347,0.2373824277859609,0.009106695652008057,0.14979731445312494,0,0,1,1,1,1,1,1
covariate_shift_moderate,13,False,fire,0.8567382088888068,0.840673586281685,0.016064622607121826,,,0.5208157896995544,1.223443841729311,3.8516863431242814,0.4628197027607461,0.031779468059539795,0.2924901855468749,0,0,1,1,1,1,1,1
covariate_shift_strong,13,False,fire,0.8567382088888068,0.8111745381680946,0.04556367072071221,,,0.7297624945640564,3.364824180689294,6.728513724823954,0.6884367340952843,0.07012110948562622,0.41344707031249994,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,13,True,quiet,0.8567382088888068,0.5145720869368304,0.3421661219519764,,,0.03812399506568909,0.006727601669313524,0.6595999999999589,0.050012445007143275,-0.00035583972930908203,0.0013061523437499778,1,0,0,0,0,0,0,0
imputation_masked_null,13,True,quiet,0.8567382088888068,0.8043491349186862,0.0523890739701206,,,0.03812399506568909,0.006727601669313524,0.6595999999999589,0.050012445007143275,0.0043593645095825195,0.49988642578125,1,0,0,0,0,0,1,1
imputation_visible,13,True,unknown,0.8567382088888068,0.8026562765615851,0.05408193232722169,,,0.45075005292892456,3.7876510487063397,2.8440999999999956,0.7902379728716318,0.004489302635192871,0.499896875,1,0,1,1,1,1,1,1
dilution_shift,13,True,quiet,0.8567382088888068,0.8539890570435907,0.002749151845216069,0.19205240310875415,0.3983957219251337,0.04395924136042595,0.039586864924561066,1.958421264381686,0.0755967224528516,-0.00021380186080932617,0.02243105468749995,0,1,0,1,1,1,0,1
dilution_permuted,13,True,quiet,0.8567382088888068,0.8548086121478038,0.0019295967410030146,0.381416374840831,0.3983957219251337,0.03812399506568909,0.006727601669313524,0.6595999999999589,0.050012445007143275,-0.00028067827224731445,0.014336474609375038,0,1,0,0,0,0,0,1
irrelevant_feature_drift,13,False,fire,0.8567382088888068,0.8611539491417517,-0.004415740252944889,,,1.0,17.646993948086653,241.25611263977737,0.9194331073046357,0.6849819421768188,0.4999999999999999,0,0,1,1,1,1,1,1
sudden_shift,13,True,fire,0.8567382088888068,0.7042837274493877,0.1524544814394191,,,0.46720001101493835,6.306055312433117,16.0254432236676,0.8195488200978865,0.010670900344848633,0.4999,1,0,1,1,1,1,1,1
gradual_shift,13,True,unknown,0.8567382088888068,0.7587886556129734,0.09794955327583343,,,0.428600013256073,4.529517274005378,4.014643488196372,0.7167336711586547,-0.0002607107162475586,0.4996754882812501,1,0,1,1,1,1,0,1
true_null,14,False,quiet,0.847927041756995,0.8605998309374381,-0.012672789180443123,,,0.021703481674194336,0.003743786900667293,0.6175499999999559,0.052138152932450776,-0.00011038780212402344,-0.007818847656249961,0,0,0,0,0,0,0,0
covariate_shift_mild,14,False,fire,0.847927041756995,0.8451615422150579,0.0027654995419370554,,,0.25661641359329224,0.30278950389920456,1.2424613340133832,0.2364745884606393,0.00818169116973877,0.1564826171875,0,0,1,1,1,1,1,1
covariate_shift_moderate,14,False,fire,0.847927041756995,0.856710236201068,-0.00878319444407305,,,0.5208091735839844,1.2241907855810559,3.258019571886834,0.4633142850271906,0.03251910209655762,0.29618486328125004,0,0,1,1,1,1,1,1
covariate_shift_strong,14,False,fire,0.847927041756995,0.8210572569750093,0.02686978478198565,,,0.7282500267028809,3.3192935880841974,5.719918613407631,0.6855455853273553,0.06845420598983765,0.40941967773437504,1,0,1,1,1,1,1,1
concept_drift_no_covariate_shift,14,True,quiet,0.847927041756995,0.5057594150606941,0.34216762669630085,,,0.021703481674194336,0.003743786900667293,0.6175499999999559,0.052138152932450776,-0.00011038780212402344,-0.007818847656249961,1,0,0,0,0,0,0,0
